compound_id,source_name,formula,ion_mode,charge,exact_mass,formula_score,best_path_score,path_count,mechanism_count,source_fragment_count,generation_types,best_node_id,representative_path,all_node_ids
PI,Polyimide (Kapton),C6H5,positive,1,77.03912516115,1.0,0.79,6,3,4,feature_rule;fragment;fragment_h_shift,node_0875,M | aromatic_ring | aromatic_stable_fragments | aromatic_C6H5,node_0875;node_0916;node_1000;node_1024;node_1084;node_1108
PI,Polyimide (Kapton),C6H5O,positive,1,93.03403978072001,1.0,0.79,5,3,3,feature_rule;fragment;fragment_h_shift,node_0878,M | aromatic_ring | aromatic_stable_fragments | aromatic_C6H5O,node_0878;node_1004;node_1016;node_1088;node_1100
PI,Polyimide (Kapton),C6H5,negative,-1,77.03912516115,0.99,0.79,3,2,3,feature_rule;fragment_h_shift,node_0876,M | aromatic_ring | aromatic_stable_fragments | aromatic_C6H5,node_0876;node_1085;node_1109
PI,Polyimide (Kapton),C6H5O,negative,-1,93.03403978072001,0.99,0.79,3,2,3,feature_rule;fragment_h_shift,node_0879,M | aromatic_ring | aromatic_stable_fragments | aromatic_C6H5O,node_0879;node_1089;node_1101
PI,Polyimide (Kapton),CNO,negative,-1,41.997988624,0.94,0.79,3,1,3,feature_rule,node_0891,M | imide | imide_fragmentation | imide_NCO,node_0891;node_0892;node_0902
PI,Polyimide (Kapton),C12H7O,negative,-1,167.04968984518,0.8939999999999999,0.6439999999999999,18,3,17,fragment;fragment_h_shift;recombination,node_1009,"M | fragment C,H,O from C-N+C-N bond break(s) | deprotonation",node_1009;node_1091;node_1707;node_1719;node_1783;node_1803;node_2011;node_2031;node_2139;node_2151;node_3749;node_3773;node_3825;node_3837;node_3901;node_3953;node_4165;node_4205
PI,Polyimide (Kapton),C12H9O,positive,1,169.06533990964,0.8939999999999999,0.6439999999999999,10,3,9,fragment;fragment_h_shift;recombination,node_1008,"M | fragment C,H,O from C-N+C-N bond break(s) | protonation",node_1008;node_1092;node_3748;node_3772;node_3824;node_3836;node_3900;node_3952;node_4164;node_4204
PI,Polyimide (Kapton),C15H7NO3,negative,-1,249.04259308875,0.8919999999999999,0.6419999999999999,10,3,9,fragment;fragment_h_shift;recombination,node_0969,"M | fragment C,H,N,O from C-O bond break(s) | deprotonation",node_0969;node_1051;node_1143;node_1163;node_1671;node_2099;node_2461;node_2501;node_2537;node_2557
PI,Polyimide (Kapton),C15H7NO4,negative,-1,265.03750770832,0.8919999999999999,0.6419999999999999,10,3,9,fragment;fragment_h_shift;recombination,node_0977,"M | fragment C,H,N,O from C-O bond break(s) | deprotonation",node_0977;node_1059;node_1147;node_1159;node_1747;node_1975;node_2469;node_2493;node_2541;node_2553
PI,Polyimide (Kapton),C15H9NO3,positive,1,251.05824315321001,0.8919999999999999,0.6419999999999999,6,3,5,fragment;fragment_h_shift;recombination,node_0968,"M | fragment C,H,N,O from C-O bond break(s) | protonation",node_0968;node_1052;node_2460;node_2500;node_2536;node_2556
PI,Polyimide (Kapton),C15H9NO4,positive,1,267.05315777278,0.8919999999999999,0.6419999999999999,6,3,5,fragment;fragment_h_shift;recombination,node_0976,"M | fragment C,H,N,O from C-O bond break(s) | protonation",node_0976;node_1060;node_2468;node_2492;node_2540;node_2552
PI,Polyimide (Kapton),C16H10N2O3,negative,-1,278.06914218987,0.8919999999999999,0.6419999999999999,10,3,9,fragment;fragment_h_shift;recombination,node_0981,"M | fragment C,H,N,O from C-O bond break(s) | deprotonation",node_0981;node_1063;node_1591;node_1611;node_1699;node_2127;node_3557;node_3597;node_3617;node_3637
PI,Polyimide (Kapton),C16H10N2O4,negative,-1,294.06405680944,0.8919999999999999,0.6419999999999999,10,3,9,fragment;fragment_h_shift;recombination,node_0973,"M | fragment C,H,N,O from C-O bond break(s) | deprotonation",node_0973;node_1055;node_1595;node_1607;node_1775;node_2003;node_3565;node_3589;node_3621;node_3633
PI,Polyimide (Kapton),C16H12N2O3,positive,1,280.08479225433,0.8919999999999999,0.6419999999999999,6,3,5,fragment;fragment_h_shift;recombination,node_0980,"M | fragment C,H,N,O from C-O bond break(s) | protonation",node_0980;node_1064;node_3556;node_3596;node_3616;node_3636
PI,Polyimide (Kapton),C16H12N2O4,positive,1,296.0797068739,0.8919999999999999,0.6419999999999999,6,3,5,fragment;fragment_h_shift;recombination,node_0972,"M | fragment C,H,N,O from C-O bond break(s) | protonation",node_0972;node_1056;node_3564;node_3588;node_3620;node_3632
PI,Polyimide (Kapton),C21H11NO4,negative,-1,341.06880783724,0.8919999999999999,0.6419999999999999,22,3,21,fragment;fragment_h_shift;recombination,node_0985,"M | fragment C,H,N,O from C-N bond break(s) | deprotonation",node_0985;node_1067;node_1151;node_1287;node_1299;node_1391;node_1411;node_1687;node_1755;node_1823;node_1983;node_2115;node_2477;node_2545;node_2845;node_2869;node_2949;node_2961;node_3129;node_3169;node_3197;node_3217
PI,Polyimide (Kapton),C21H13NO4,positive,1,343.0844579017,0.8919999999999999,0.6419999999999999,12,3,11,fragment;fragment_h_shift;recombination,node_0984,"M | fragment C,H,N,O from C-N bond break(s) | protonation",node_0984;node_1068;node_2476;node_2544;node_2844;node_2868;node_2948;node_2960;node_3128;node_3168;node_3196;node_3216
PI,Polyimide (Kapton),C22H14N2O4,negative,-1,370.09535693836,0.8919999999999999,0.6419999999999999,22,3,21,fragment;fragment_h_shift;recombination,node_0965,"M | fragment C,H,N,O from C-N bond break(s) | deprotonation",node_0965;node_1047;node_1343;node_1363;node_1459;node_1471;node_1599;node_1683;node_1767;node_1851;node_1995;node_2111;node_3009;node_3049;node_3077;node_3097;node_3265;node_3289;node_3357;node_3369;node_3573;node_3625
PI,Polyimide (Kapton),C22H16N2O4,positive,1,372.11100700282,0.8919999999999999,0.6419999999999999,12,3,11,fragment;fragment_h_shift;recombination,node_0964,"M | fragment C,H,N,O from C-N bond break(s) | protonation",node_0964;node_1048;node_3008;node_3048;node_3076;node_3096;node_3264;node_3288;node_3356;node_3368;node_3572;node_3624
PI,Polyimide (Kapton),C30H15N3O7,negative,-1,529.09099983373,0.8861818000332538,0.6361818000332539,18,3,17,fragment;fragment_h_shift;recombination,node_0997,"M | fragment C,H,N,O from C-N bond break(s) | deprotonation",node_0997;node_1079;node_1155;node_1303;node_1415;node_1563;node_1899;node_2055;node_2191;node_2263;node_2485;node_2549;node_2877;node_2965;node_3177;node_3221;node_3481;node_3541
PI,Polyimide (Kapton),C30H17N3O7,positive,1,531.10664989819,0.8857786700203618,0.6357786700203619,10,3,9,fragment;fragment_h_shift;recombination,node_0996,"M | fragment C,H,N,O from C-N bond break(s) | protonation",node_0996;node_1080;node_2484;node_2548;node_2876;node_2964;node_3176;node_3220;node_3480;node_3540
PI,Polyimide (Kapton),C31H18N3O7,negative,-1,544.11447493042,0.8831771050139159,0.6331771050139159,27,4,26,fragment;fragment_h_shift;parent;recombination,node_0993,"M | fragment C,H,N,O from C-N bond break(s) | deprotonation",node_0957;node_0993;node_1075;node_1127;node_1175;node_1259;node_1331;node_1383;node_1439;node_1523;node_1587;node_1971;node_2343;node_2395;node_2419;node_2429;node_2521;node_2789;node_2921;node_3113;node_3189;node_3401;node_3501;node_4121;node_4149;node_4361;node_4365
PI,Polyimide (Kapton),C31H20N3O7,positive,1,546.13012499488,0.882773975001024,0.632773975001024,15,4,14,fragment;fragment_h_shift;parent;recombination,node_0992,"M | fragment C,H,N,O from C-N bond break(s) | protonation",node_0956;node_0992;node_1076;node_2428;node_2520;node_2788;node_2920;node_3112;node_3188;node_3400;node_3500;node_4120;node_4148;node_4360;node_4364
PI,Polyimide (Kapton),C2H2NO,positive,1,56.01363868846,0.8800000000000001,0.79,2,1,2,feature_rule,node_0894,M | imide | imide_fragmentation | imide_C2H2NO,node_0894;node_0899
PI,Polyimide (Kapton),C2H3O,positive,1,43.01838971626,0.8800000000000001,0.79,2,1,2,feature_rule,node_0882,M | carbonyl | carbonyl_fragmentation | carbonyl_C2H3O,node_0882;node_0932
PI,Polyimide (Kapton),C2HO,negative,-1,41.0027396518,0.8800000000000001,0.79,2,1,2,feature_rule,node_0890,M | carbonyl | carbonyl_fragmentation | carbonyl_C2HO,node_0890;node_0942
PI,Polyimide (Kapton),C3H3O,positive,1,55.01838971626,0.8800000000000001,0.79,2,1,2,feature_rule,node_0886,M | carbonyl | carbonyl_fragmentation | carbonyl_C3H3O,node_0886;node_0934
PI,Polyimide (Kapton),C3H5O,positive,1,57.03403978072,0.8800000000000001,0.79,2,1,2,feature_rule,node_0887,M | carbonyl | carbonyl_fragmentation | carbonyl_C3H5O,node_0887;node_0935
PI,Polyimide (Kapton),CH4N,positive,1,30.03437413335,0.8800000000000001,0.79,2,1,2,feature_rule,node_0898,M | amide | amide_fragmentation | amide_CH4N,node_0898;node_0947
PI,Polyimide (Kapton),CHO,positive,1,29.0027396518,0.8800000000000001,0.79,2,1,2,feature_rule,node_0881,M | carbonyl | carbonyl_fragmentation | carbonyl_HCO,node_0881;node_0930
PI,Polyimide (Kapton),C31H19N3O7,positive,1,545.12229996265,0.8449755400074701,0.5949755400074701,26,3,26,fragment;parent;recombination,node_0990,"M | fragment C,H,N,O from C-N bond break(s) | electron_loss",node_0954;node_0990;node_1128;node_1176;node_1260;node_1332;node_1384;node_1440;node_1524;node_1588;node_1972;node_2344;node_2396;node_2420;node_2426;node_2518;node_2786;node_2918;node_3110;node_3186;node_3398;node_3498;node_4118;node_4146;node_4358;node_4362
PI,Polyimide (Kapton),C31H19N3O7,negative,-1,545.12229996265,0.8449755400074701,0.5949755400074701,14,3,14,fragment;parent;recombination,node_0991,"M | fragment C,H,N,O from C-N bond break(s) | electron_gain",node_0955;node_0991;node_2427;node_2519;node_2787;node_2919;node_3111;node_3187;node_3399;node_3499;node_4119;node_4147;node_4359;node_4363
PI,Polyimide (Kapton),C15H7N2O3,negative,-1,263.04566709318,0.8439999999999999,0.5939999999999999,10,3,9,fragment;fragment_h_shift;recombination,node_1029,"M | fragment C,H,N,O from C-O+C-N bond break(s) | deprotonation",node_1029;node_1111;node_1735;node_2163;node_2267;node_2287;node_3805;node_3853;node_4273;node_4297
PI,Polyimide (Kapton),C15H7N2O4,negative,-1,279.04058171275,0.8439999999999999,0.5939999999999999,10,3,9,fragment;fragment_h_shift;recombination,node_1021,"M | fragment C,H,N,O from C-O+C-N bond break(s) | deprotonation",node_1021;node_1103;node_1811;node_2039;node_2271;node_2283;node_3917;node_3961;node_4181;node_4213
PI,Polyimide (Kapton),C15H9N2O3,positive,1,265.06131715764,0.8439999999999999,0.5939999999999999,6,3,5,fragment;fragment_h_shift;recombination,node_1028,"M | fragment C,H,N,O from C-O+C-N bond break(s) | protonation",node_1028;node_1112;node_3804;node_3852;node_4272;node_4296
PI,Polyimide (Kapton),C15H9N2O4,positive,1,281.05623177721,0.8439999999999999,0.5939999999999999,6,3,5,fragment;fragment_h_shift;recombination,node_1020,"M | fragment C,H,N,O from C-O+C-N bond break(s) | protonation",node_1020;node_1104;node_3916;node_3960;node_4180;node_4212
PI,Polyimide (Kapton),C21H11N2O4,negative,-1,355.07188184167,0.8439999999999999,0.5939999999999999,24,3,22,fragment;fragment_h_shift;recombination,node_1013,"M | fragment C,H,N,O from C-N+C-N bond break(s) | deprotonation",node_1013;node_1037;node_1095;node_1119;node_1723;node_1807;node_1887;node_2035;node_2067;node_2087;node_2155;node_2215;node_2227;node_2275;node_3781;node_3841;node_3909;node_3957;node_4017;node_4057;node_4173;node_4209;node_4229;node_4249
PI,Polyimide (Kapton),C21H13N2O4,positive,1,357.08753190613,0.8439999999999999,0.5939999999999999,14,3,12,fragment;fragment_h_shift;recombination,node_1012,"M | fragment C,H,N,O from C-N+C-N bond break(s) | protonation",node_1012;node_1036;node_1096;node_1120;node_3780;node_3840;node_3908;node_3956;node_4016;node_4056;node_4172;node_4208;node_4228;node_4248
PI,Polyimide (Kapton),C6H3,negative,-1,75.02347509669,0.834,0.6439999999999999,4,2,2,fragment;fragment_h_shift,node_1001,"M | fragment C,H from C-N+C-O bond break(s) | deprotonation",node_1001;node_1025;node_1083;node_1107
PI,Polyimide (Kapton),C6H3O,negative,-1,91.01838971626,0.834,0.6439999999999999,4,2,2,fragment;fragment_h_shift,node_1005,"M | fragment C,H,O from C-N+C-O bond break(s) | deprotonation",node_1005;node_1017;node_1087;node_1099
PI,Polyimide (Kapton),C12H8O,positive,1,168.05751487741,0.8260000000000001,0.6060000000000001,17,2,17,fragment;recombination,node_1006,"M | fragment C,H,O from C-N+C-N bond break(s) | electron_loss",node_1006;node_1708;node_1720;node_1784;node_1804;node_2012;node_2032;node_2140;node_2152;node_3746;node_3770;node_3822;node_3834;node_3898;node_3950;node_4162;node_4202
PI,Polyimide (Kapton),C12H8O,negative,-1,168.05751487741,0.8260000000000001,0.6060000000000001,9,2,9,fragment;recombination,node_1007,"M | fragment C,H,O from C-N+C-N bond break(s) | electron_gain",node_1007;node_3747;node_3771;node_3823;node_3835;node_3899;node_3951;node_4163;node_4203
PI,Polyimide (Kapton),C15H8NO3,positive,1,250.05041812098,0.8240000000000001,0.6040000000000001,9,2,9,fragment;recombination,node_0966,"M | fragment C,H,N,O from C-O bond break(s) | electron_loss",node_0966;node_1144;node_1164;node_1672;node_2100;node_2458;node_2498;node_2534;node_2554
PI,Polyimide (Kapton),C15H8NO3,negative,-1,250.05041812098,0.8240000000000001,0.6040000000000001,5,2,5,fragment;recombination,node_0967,"M | fragment C,H,N,O from C-O bond break(s) | electron_gain",node_0967;node_2459;node_2499;node_2535;node_2555
PI,Polyimide (Kapton),C15H8NO4,positive,1,266.04533274055,0.8240000000000001,0.6040000000000001,9,2,9,fragment;recombination,node_0974,"M | fragment C,H,N,O from C-O bond break(s) | electron_loss",node_0974;node_1148;node_1160;node_1748;node_1976;node_2466;node_2490;node_2538;node_2550
PI,Polyimide (Kapton),C15H8NO4,negative,-1,266.04533274055,0.8240000000000001,0.6040000000000001,5,2,5,fragment;recombination,node_0975,"M | fragment C,H,N,O from C-O bond break(s) | electron_gain",node_0975;node_2467;node_2491;node_2539;node_2551
PI,Polyimide (Kapton),C16H11N2O3,positive,1,279.0769672221,0.8240000000000001,0.6040000000000001,9,2,9,fragment;recombination,node_0978,"M | fragment C,H,N,O from C-O bond break(s) | electron_loss",node_0978;node_1592;node_1612;node_1700;node_2128;node_3554;node_3594;node_3614;node_3634
PI,Polyimide (Kapton),C16H11N2O3,negative,-1,279.0769672221,0.8240000000000001,0.6040000000000001,5,2,5,fragment;recombination,node_0979,"M | fragment C,H,N,O from C-O bond break(s) | electron_gain",node_0979;node_3555;node_3595;node_3615;node_3635
PI,Polyimide (Kapton),C16H11N2O4,positive,1,295.07188184167,0.8240000000000001,0.6040000000000001,9,2,9,fragment;recombination,node_0970,"M | fragment C,H,N,O from C-O bond break(s) | electron_loss",node_0970;node_1596;node_1608;node_1776;node_2004;node_3562;node_3586;node_3618;node_3630
PI,Polyimide (Kapton),C16H11N2O4,negative,-1,295.07188184167,0.8240000000000001,0.6040000000000001,5,2,5,fragment;recombination,node_0971,"M | fragment C,H,N,O from C-O bond break(s) | electron_gain",node_0971;node_3563;node_3587;node_3619;node_3631
PI,Polyimide (Kapton),C21H12NO4,positive,1,342.07663286947,0.8240000000000001,0.6040000000000001,21,2,21,fragment;recombination,node_0982,"M | fragment C,H,N,O from C-N bond break(s) | electron_loss",node_0982;node_1152;node_1288;node_1300;node_1392;node_1412;node_1688;node_1756;node_1824;node_1984;node_2116;node_2474;node_2542;node_2842;node_2866;node_2946;node_2958;node_3126;node_3166;node_3194;node_3214
PI,Polyimide (Kapton),C21H12NO4,negative,-1,342.07663286947,0.8240000000000001,0.6040000000000001,11,2,11,fragment;recombination,node_0983,"M | fragment C,H,N,O from C-N bond break(s) | electron_gain",node_0983;node_2475;node_2543;node_2843;node_2867;node_2947;node_2959;node_3127;node_3167;node_3195;node_3215
PI,Polyimide (Kapton),C22H15N2O4,positive,1,371.10318197059,0.8240000000000001,0.6040000000000001,21,2,21,fragment;recombination,node_0962,"M | fragment C,H,N,O from C-N bond break(s) | electron_loss",node_0962;node_1344;node_1364;node_1460;node_1472;node_1600;node_1684;node_1768;node_1852;node_1996;node_2112;node_3006;node_3046;node_3074;node_3094;node_3262;node_3286;node_3354;node_3366;node_3570;node_3622
PI,Polyimide (Kapton),C22H15N2O4,negative,-1,371.10318197059,0.8240000000000001,0.6040000000000001,11,2,11,fragment;recombination,node_0963,"M | fragment C,H,N,O from C-N bond break(s) | electron_gain",node_0963;node_3007;node_3047;node_3075;node_3095;node_3263;node_3287;node_3355;node_3367;node_3571;node_3623
PI,Polyimide (Kapton),C30H16N3O7,positive,1,530.09882486596,0.8179802350268082,0.5979802350268081,17,2,17,fragment;recombination,node_0994,"M | fragment C,H,N,O from C-N bond break(s) | electron_loss",node_0994;node_1156;node_1304;node_1416;node_1564;node_1900;node_2056;node_2192;node_2264;node_2482;node_2546;node_2874;node_2962;node_3174;node_3218;node_3478;node_3538
PI,Polyimide (Kapton),C30H16N3O7,negative,-1,530.09882486596,0.8179802350268082,0.5979802350268081,9,2,9,fragment;recombination,node_0995,"M | fragment C,H,N,O from C-N bond break(s) | electron_gain",node_0995;node_2483;node_2547;node_2875;node_2963;node_3175;node_3219;node_3479;node_3539
PI,Polyimide (Kapton),C9H3NO3,negative,-1,173.01129295983,0.792,0.692,2,2,1,fragment;fragment_h_shift,node_0961,"M | fragment C,H,N,O from C-N bond break(s) | deprotonation",node_0961;node_1043
PI,Polyimide (Kapton),C9H5NO3,positive,1,175.02694302429,0.792,0.692,2,2,1,fragment;fragment_h_shift,node_0960,"M | fragment C,H,N,O from C-N bond break(s) | protonation",node_0960;node_1044
PI,Polyimide (Kapton),C2H4NO,positive,1,58.029288752919996,0.79,0.79,1,1,1,feature_rule,node_0900,M | amide | amide_fragmentation | amide_C2H4NO,node_0900
PI,Polyimide (Kapton),C2HO,positive,1,41.0027396518,0.79,0.79,1,1,1,feature_rule,node_0883,M | carbonyl | carbonyl_fragmentation | carbonyl_C2HO,node_0883
PI,Polyimide (Kapton),C2O,negative,-1,39.99491461957,0.79,0.79,1,1,1,feature_rule,node_0889,M | carbonyl | carbonyl_fragmentation | carbonyl_C2O,node_0889
PI,Polyimide (Kapton),C6H4NO,positive,1,106.02928875292,0.79,0.79,1,1,1,feature_rule,node_0896,M | imide | imide_fragmentation | imide_C6H4NO,node_0896
PI,Polyimide (Kapton),C6H6N,positive,1,92.05002419781,0.79,0.79,1,1,1,feature_rule,node_0901,M | amide | amide_fragmentation | amide_C6H6N,node_0901
PI,Polyimide (Kapton),C7H4NO2,positive,1,134.02420337249,0.79,0.79,1,1,1,feature_rule,node_0895,M | imide | imide_fragmentation | imide_C7H4NO2,node_0895
PI,Polyimide (Kapton),C7H7,positive,1,91.05477522561,0.79,0.79,1,1,1,feature_rule,node_0877,M | aromatic_ring | aromatic_stable_fragments | aromatic_C7H7,node_0877
PI,Polyimide (Kapton),CH2NO,positive,1,44.01363868846,0.79,0.79,1,1,1,feature_rule,node_0897,M | amide | amide_fragmentation | amide_CH2NO,node_0897
PI,Polyimide (Kapton),CHN,positive,1,27.01089903666,0.79,0.79,1,1,1,feature_rule,node_0893,M | imide | imide_fragmentation | imide_HCN,node_0893
PI,Polyimide (Kapton),CHO2,positive,1,44.99765427137,0.79,0.79,1,1,1,feature_rule,node_0885,M | carbonyl | carbonyl_fragmentation | carbonyl_CHO2,node_0885
PI,Polyimide (Kapton),CO,positive,1,27.99491461957,0.79,0.79,1,1,1,feature_rule,node_0880,M | carbonyl | carbonyl_fragmentation | carbonyl_CO,node_0880
PI,Polyimide (Kapton),CO,negative,-1,27.99491461957,0.79,0.79,1,1,1,feature_rule,node_0888,M | carbonyl | carbonyl_fragmentation | carbonyl_CO,node_0888
PI,Polyimide (Kapton),CO2,positive,1,43.98982923914,0.79,0.79,1,1,1,feature_rule,node_0884,M | carbonyl | carbonyl_fragmentation | carbonyl_CO2,node_0884
PI,Polyimide (Kapton),C15H8N2O3,positive,1,264.05349212541,0.776,0.556,9,2,9,fragment;recombination,node_1026,"M | fragment C,H,N,O from C-O+C-N bond break(s) | electron_loss",node_1026;node_1736;node_2164;node_2268;node_2288;node_3802;node_3850;node_4270;node_4294
PI,Polyimide (Kapton),C15H8N2O3,negative,-1,264.05349212541,0.776,0.556,5,2,5,fragment;recombination,node_1027,"M | fragment C,H,N,O from C-O+C-N bond break(s) | electron_gain",node_1027;node_3803;node_3851;node_4271;node_4295
PI,Polyimide (Kapton),C15H8N2O4,positive,1,280.04840674498,0.776,0.556,9,2,9,fragment;recombination,node_1018,"M | fragment C,H,N,O from C-O+C-N bond break(s) | electron_loss",node_1018;node_1812;node_2040;node_2272;node_2284;node_3914;node_3958;node_4178;node_4210
PI,Polyimide (Kapton),C15H8N2O4,negative,-1,280.04840674498,0.776,0.556,5,2,5,fragment;recombination,node_1019,"M | fragment C,H,N,O from C-O+C-N bond break(s) | electron_gain",node_1019;node_3915;node_3959;node_4179;node_4211
PI,Polyimide (Kapton),C21H12N2O4,positive,1,356.0797068739,0.776,0.556,22,2,22,fragment;recombination,node_1010,"M | fragment C,H,N,O from C-N+C-N bond break(s) | electron_loss",node_1010;node_1034;node_1724;node_1808;node_1888;node_2036;node_2068;node_2088;node_2156;node_2216;node_2228;node_2276;node_3778;node_3838;node_3906;node_3954;node_4014;node_4054;node_4170;node_4206;node_4226;node_4246
PI,Polyimide (Kapton),C21H12N2O4,negative,-1,356.0797068739,0.776,0.556,12,2,12,fragment;recombination,node_1011,"M | fragment C,H,N,O from C-N+C-N bond break(s) | electron_gain",node_1011;node_1035;node_3779;node_3839;node_3907;node_3955;node_4015;node_4055;node_4171;node_4207;node_4227;node_4247
PI,Polyimide (Kapton),C12H7O,positive,1,167.04968984518,0.772,0.552,13,2,13,fragment_h_shift;recombination,node_1090,"M | fragment C,H,O from C-N+C-N bond break(s) | h_shift_-1 | electron_loss",node_1090;node_1706;node_1718;node_1782;node_1802;node_2010;node_2030;node_2138;node_2150;node_3744;node_3768;node_3896;node_4160
PI,Polyimide (Kapton),C15H7NO3,positive,1,249.04259308875,0.77,0.55,7,2,7,fragment_h_shift;recombination,node_1050,"M | fragment C,H,N,O from C-O bond break(s) | h_shift_-1 | electron_loss",node_1050;node_1142;node_1162;node_1670;node_2098;node_2456;node_2496
PI,Polyimide (Kapton),C15H7NO4,positive,1,265.03750770832,0.77,0.55,7,2,7,fragment_h_shift;recombination,node_1058,"M | fragment C,H,N,O from C-O bond break(s) | h_shift_-1 | electron_loss",node_1058;node_1146;node_1158;node_1746;node_1974;node_2464;node_2488
PI,Polyimide (Kapton),C16H10N2O3,positive,1,278.06914218987,0.77,0.55,7,2,7,fragment_h_shift;recombination,node_1062,"M | fragment C,H,N,O from C-O bond break(s) | h_shift_-1 | electron_loss",node_1062;node_1590;node_1610;node_1698;node_2126;node_3552;node_3592
PI,Polyimide (Kapton),C16H10N2O4,positive,1,294.06405680944,0.77,0.55,7,2,7,fragment_h_shift;recombination,node_1054,"M | fragment C,H,N,O from C-O bond break(s) | h_shift_-1 | electron_loss",node_1054;node_1594;node_1606;node_1774;node_2002;node_3560;node_3584
PI,Polyimide (Kapton),C21H11NO4,positive,1,341.06880783724,0.77,0.55,16,2,16,fragment_h_shift;recombination,node_1066,"M | fragment C,H,N,O from C-N bond break(s) | h_shift_-1 | electron_loss",node_1066;node_1150;node_1286;node_1298;node_1390;node_1410;node_1686;node_1754;node_1822;node_1982;node_2114;node_2472;node_2840;node_2864;node_3124;node_3164
PI,Polyimide (Kapton),C22H14N2O4,positive,1,370.09535693836,0.77,0.55,16,2,16,fragment_h_shift;recombination,node_1046,"M | fragment C,H,N,O from C-N bond break(s) | h_shift_-1 | electron_loss",node_1046;node_1342;node_1362;node_1458;node_1470;node_1598;node_1682;node_1766;node_1850;node_1994;node_2110;node_3004;node_3044;node_3260;node_3284;node_3568
PI,Polyimide (Kapton),C30H15N3O7,positive,1,529.09099983373,0.7641818000332541,0.544181800033254,13,2,13,fragment_h_shift;recombination,node_1078,"M | fragment C,H,N,O from C-N bond break(s) | h_shift_-1 | electron_loss",node_1078;node_1154;node_1302;node_1414;node_1562;node_1898;node_2054;node_2190;node_2262;node_2480;node_2872;node_3172;node_3476
PI,Polyimide (Kapton),C31H18N3O7,positive,1,544.11447493042,0.761177105013916,0.541177105013916,19,2,19,fragment_h_shift;recombination,node_1074,"M | fragment C,H,N,O from C-N bond break(s) | h_shift_-1 | electron_loss",node_1074;node_1126;node_1174;node_1258;node_1330;node_1382;node_1438;node_1522;node_1586;node_1970;node_2342;node_2394;node_2418;node_2424;node_2784;node_3108;node_3396;node_4116;node_4356
PI,Polyimide (Kapton),C10H6NO3,negative,-1,188.03476805652,0.744,0.6439999999999999,2,2,1,fragment;fragment_h_shift,node_1041,"M | fragment C,H,N,O from C-N+C-N bond break(s) | deprotonation",node_1041;node_1123
PI,Polyimide (Kapton),C10H8NO3,positive,1,190.05041812098,0.744,0.6439999999999999,2,2,1,fragment;fragment_h_shift,node_1040,"M | fragment C,H,N,O from C-N+C-N bond break(s) | protonation",node_1040;node_1124
PI,Polyimide (Kapton),C9H3N2O3,negative,-1,187.01436696426,0.744,0.6439999999999999,2,2,1,fragment;fragment_h_shift,node_1033,"M | fragment C,H,N,O from C-N+C-N bond break(s) | deprotonation",node_1033;node_1115
PI,Polyimide (Kapton),C9H5N2O3,positive,1,189.03001702872,0.744,0.6439999999999999,2,2,1,fragment;fragment_h_shift,node_1032,"M | fragment C,H,N,O from C-N+C-N bond break(s) | protonation",node_1032;node_1116
PI,Polyimide (Kapton),C10H6N2O3,negative,-1,202.03784206095,0.742,0.6419999999999999,2,2,1,fragment;fragment_h_shift,node_0989,"M | fragment C,H,N,O from C-N bond break(s) | deprotonation",node_0989;node_1071
PI,Polyimide (Kapton),C10H8N2O3,positive,1,204.05349212541,0.742,0.6419999999999999,2,2,1,fragment;fragment_h_shift,node_0988,"M | fragment C,H,N,O from C-N bond break(s) | protonation",node_0988;node_1072
PI,Polyimide (Kapton),C15H7N2O3,positive,1,263.04566709318,0.722,0.502,7,2,7,fragment_h_shift;recombination,node_1110,"M | fragment C,H,N,O from C-O+C-N bond break(s) | h_shift_-1 | electron_loss",node_1110;node_1734;node_2162;node_2266;node_2286;node_3800;node_4268
PI,Polyimide (Kapton),C15H7N2O4,positive,1,279.04058171275,0.722,0.502,7,2,7,fragment_h_shift;recombination,node_1102,"M | fragment C,H,N,O from C-O+C-N bond break(s) | h_shift_-1 | electron_loss",node_1102;node_1810;node_2038;node_2270;node_2282;node_3912;node_4176
PI,Polyimide (Kapton),C21H11N2O4,positive,1,355.07188184167,0.722,0.502,17,2,17,fragment_h_shift;recombination,node_1094,"M | fragment C,H,N,O from C-N+C-N bond break(s) | h_shift_-1 | electron_loss",node_1094;node_1118;node_1722;node_1806;node_1886;node_2034;node_2066;node_2086;node_2154;node_2214;node_2226;node_2274;node_3776;node_3904;node_4012;node_4168;node_4224
PI,Polyimide (Kapton),C6H4,positive,1,76.03130012892,0.6960000000000002,0.6060000000000001,2,1,2,fragment,node_0998,"M | fragment C,H from C-N+C-O bond break(s) | electron_loss",node_0998;node_1022
PI,Polyimide (Kapton),C6H4,negative,-1,76.03130012892,0.6960000000000002,0.6060000000000001,2,1,2,fragment,node_0999,"M | fragment C,H from C-N+C-O bond break(s) | electron_gain",node_0999;node_1023
PI,Polyimide (Kapton),C6H4O,positive,1,92.02621474849,0.6960000000000002,0.6060000000000001,2,1,2,fragment,node_1002,"M | fragment C,H,O from C-N+C-O bond break(s) | electron_loss",node_1002;node_1014
