node_id,compound_id,source_name,formula,counts,exact_mass,ion_mode,charge,generation_type,operation,path,source_nodes,fragment_atom_indices,reaction_site_elements,broken_bonds,h_shift,recombination_loss,rule_pack,trigger_feature,evidence,structure_score,ionization_score,path_score,formula_score,path_count,mechanism_count,source_fragment_count
node_0001,PEN,Polyethylene Naphthalate,C16H16O6,"{""C"": 16, ""H"": 16, ""O"": 6}",304.0946882331,neutral,0,parent,source_molecule,M,,,,0,0,,,,,0.45,0.0,0.27,0.0,1,1,0
node_0002,PEN,Polyethylene Naphthalate,C14H11O4,"{""C"": 14, ""H"": 11, ""O"": 4}",243.06573383281,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O bond break(s)",node_0001,0;1;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;27;28;29;30;31;32;33;34;35;36;37,C,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0003,PEN,Polyethylene Naphthalate,C2H5O2,"{""C"": 2, ""H"": 5, ""O"": 2}",61.028954400290004,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O bond break(s)",node_0001,2;3;4;5;22;23;24;25;26,O,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0004,PEN,Polyethylene Naphthalate,C14H11O5,"{""C"": 14, ""H"": 11, ""O"": 5}",259.06064845238,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O bond break(s)",node_0001,0;1;2;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;27;28;29;30;31;32;33;34;35;36;37,O,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0005,PEN,Polyethylene Naphthalate,C2H5O,"{""C"": 2, ""H"": 5, ""O"": 1}",45.03403978072,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O bond break(s)",node_0001,3;4;5;22;23;24;25;26,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0006,PEN,Polyethylene Naphthalate,C15H13O5,"{""C"": 15, ""H"": 13, ""O"": 5}",273.07629851684,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-C bond break(s)",node_0001,0;1;2;3;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;27;28;29;30;31;32;33;34;35;36;37,C,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0007,PEN,Polyethylene Naphthalate,CH3O,"{""C"": 1, ""H"": 3, ""O"": 1}",31.01838971626,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-C bond break(s)",node_0001,4;5;24;25;26,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0008,PEN,Polyethylene Naphthalate,C16H15O5,"{""C"": 16, ""H"": 15, ""O"": 5}",287.0919485813,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O bond break(s)",node_0001,0;1;2;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;27;28;29;30;31;32;33;34;35;36;37,C,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0009,PEN,Polyethylene Naphthalate,C3H5O3,"{""C"": 3, ""H"": 5, ""O"": 3}",89.02386901986,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-C bond break(s)",node_0001,0;1;2;3;4;5;22;23;24;25;26,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0010,PEN,Polyethylene Naphthalate,C13H11O3,"{""C"": 13, ""H"": 11, ""O"": 3}",215.07081921324001,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-C bond break(s)",node_0001,6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;27;28;29;30;31;32;33;34;35;36;37,C,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0011,PEN,Polyethylene Naphthalate,C13H11O3,"{""C"": 13, ""H"": 11, ""O"": 3}",215.07081921324001,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-C bond break(s)",node_0001,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;22;23;24;25;26;27;28;29;30;31;32,C,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0012,PEN,Polyethylene Naphthalate,C3H5O3,"{""C"": 3, ""H"": 5, ""O"": 3}",89.02386901986,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-C bond break(s)",node_0001,16;17;18;19;20;21;33;34;35;36;37,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0013,PEN,Polyethylene Naphthalate,C14H11O4,"{""C"": 14, ""H"": 11, ""O"": 4}",243.06573383281,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O bond break(s)",node_0001,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;22;23;24;25;26;27;28;29;30;31;32,C,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0014,PEN,Polyethylene Naphthalate,C2H5O2,"{""C"": 2, ""H"": 5, ""O"": 2}",61.028954400290004,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O bond break(s)",node_0001,18;19;20;21;33;34;35;36;37,O,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0015,PEN,Polyethylene Naphthalate,C14H11O5,"{""C"": 14, ""H"": 11, ""O"": 5}",259.06064845238,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O bond break(s)",node_0001,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;22;23;24;25;26;27;28;29;30;31;32,O,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0016,PEN,Polyethylene Naphthalate,C2H5O,"{""C"": 2, ""H"": 5, ""O"": 1}",45.03403978072,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O bond break(s)",node_0001,19;20;21;33;34;35;36;37,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0017,PEN,Polyethylene Naphthalate,C15H13O5,"{""C"": 15, ""H"": 13, ""O"": 5}",273.07629851684,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-C bond break(s)",node_0001,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;22;23;24;25;26;27;28;29;30;31;32;33;34,C,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0018,PEN,Polyethylene Naphthalate,CH3O,"{""C"": 1, ""H"": 3, ""O"": 1}",31.01838971626,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-C bond break(s)",node_0001,20;21;35;36;37,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0019,PEN,Polyethylene Naphthalate,C16H15O5,"{""C"": 16, ""H"": 15, ""O"": 5}",287.0919485813,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O bond break(s)",node_0001,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36,C,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0020,PEN,Polyethylene Naphthalate,CH2O,"{""C"": 1, ""H"": 2, ""O"": 1}",30.01056468403,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O+C-C bond break(s)",node_0001,2;3;22;23,O;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0021,PEN,Polyethylene Naphthalate,C2H4O,"{""C"": 2, ""H"": 4, ""O"": 1}",44.02621474849,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O+C-O bond break(s)",node_0001,2;3;4;22;23;24;25,O;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0022,PEN,Polyethylene Naphthalate,CO,"{""C"": 1, ""O"": 1}",27.99491461957,neutral,0,fragment,bond_break,"M | fragment C,O from C-O+C-C bond break(s)",node_0001,0;1,C;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0023,PEN,Polyethylene Naphthalate,C11H6O,"{""C"": 11, ""H"": 6, ""O"": 1}",154.04186481295,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O+C-C bond break(s)",node_0001,0;1;6;7;8;9;10;11;12;13;14;15;27;28;29;30;31;32,C;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0024,PEN,Polyethylene Naphthalate,C12H6O2,"{""C"": 12, ""H"": 6, ""O"": 2}",182.03677943252,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O+C-O bond break(s)",node_0001,0;1;6;7;8;9;10;11;12;13;14;15;16;17;27;28;29;30;31;32,C;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0025,PEN,Polyethylene Naphthalate,C12H6O3,"{""C"": 12, ""H"": 6, ""O"": 3}",198.03169405209002,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O+C-O bond break(s)",node_0001,0;1;6;7;8;9;10;11;12;13;14;15;16;17;18;27;28;29;30;31;32,C;O,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0026,PEN,Polyethylene Naphthalate,C13H8O3,"{""C"": 13, ""H"": 8, ""O"": 3}",212.04734411655,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O+C-C bond break(s)",node_0001,0;1;6;7;8;9;10;11;12;13;14;15;16;17;18;19;27;28;29;30;31;32;33;34,C;C,2,0,,,,,0.5599999999999999,0.0,0.33599999999999997,0.0,1,1,0
node_0027,PEN,Polyethylene Naphthalate,C14H10O3,"{""C"": 14, ""H"": 10, ""O"": 3}",226.06299418101,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O+C-O bond break(s)",node_0001,0;1;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;27;28;29;30;31;32;33;34;35;36,C;C,2,0,,,,,0.5599999999999999,0.0,0.33599999999999997,0.0,1,1,0
node_0028,PEN,Polyethylene Naphthalate,C2H4,"{""C"": 2, ""H"": 4}",28.03130012892,neutral,0,fragment,bond_break,"M | fragment C,H from C-O+C-O bond break(s)",node_0001,3;4;22;23;24;25,C;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0029,PEN,Polyethylene Naphthalate,CO2,"{""C"": 1, ""O"": 2}",43.98982923914,neutral,0,fragment,bond_break,"M | fragment C,O from C-O+C-C bond break(s)",node_0001,0;1;2,O;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0030,PEN,Polyethylene Naphthalate,C11H6O2,"{""C"": 11, ""H"": 6, ""O"": 2}",170.03677943252,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O+C-C bond break(s)",node_0001,0;1;2;6;7;8;9;10;11;12;13;14;15;27;28;29;30;31;32,O;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0031,PEN,Polyethylene Naphthalate,C12H6O3,"{""C"": 12, ""H"": 6, ""O"": 3}",198.03169405209002,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O+C-O bond break(s)",node_0001,0;1;2;6;7;8;9;10;11;12;13;14;15;16;17;27;28;29;30;31;32,O;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0032,PEN,Polyethylene Naphthalate,C12H6O4,"{""C"": 12, ""H"": 6, ""O"": 4}",214.02660867166,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O+C-O bond break(s)",node_0001,0;1;2;6;7;8;9;10;11;12;13;14;15;16;17;18;27;28;29;30;31;32,O;O,2,0,,,,,0.5599999999999999,0.0,0.33599999999999997,0.0,1,1,0
node_0033,PEN,Polyethylene Naphthalate,C13H8O4,"{""C"": 13, ""H"": 8, ""O"": 4}",228.04225873612,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O+C-C bond break(s)",node_0001,0;1;2;6;7;8;9;10;11;12;13;14;15;16;17;18;19;27;28;29;30;31;32;33;34,O;C,2,0,,,,,0.5599999999999999,0.0,0.33599999999999997,0.0,1,1,0
node_0034,PEN,Polyethylene Naphthalate,C14H10O4,"{""C"": 14, ""H"": 10, ""O"": 4}",242.05790880058,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O+C-O bond break(s)",node_0001,0;1;2;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;27;28;29;30;31;32;33;34;35;36,O;C,2,0,,,,,0.5599999999999999,0.0,0.33599999999999997,0.0,1,1,0
node_0035,PEN,Polyethylene Naphthalate,C2H2O2,"{""C"": 2, ""H"": 2, ""O"": 2}",58.0054793036,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-C+C-C bond break(s)",node_0001,0;1;2;3;22;23,C;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0036,PEN,Polyethylene Naphthalate,C12H8O2,"{""C"": 12, ""H"": 8, ""O"": 2}",184.05242949698,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-C+C-C bond break(s)",node_0001,0;1;2;3;6;7;8;9;10;11;12;13;14;15;22;23;27;28;29;30;31;32,C;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0037,PEN,Polyethylene Naphthalate,C13H8O3,"{""C"": 13, ""H"": 8, ""O"": 3}",212.04734411655,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-C+C-O bond break(s)",node_0001,0;1;2;3;6;7;8;9;10;11;12;13;14;15;16;17;22;23;27;28;29;30;31;32,C;C,2,0,,,,,0.5599999999999999,0.0,0.33599999999999997,0.0,1,1,0
node_0038,PEN,Polyethylene Naphthalate,C13H8O4,"{""C"": 13, ""H"": 8, ""O"": 4}",228.04225873612,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-C+C-O bond break(s)",node_0001,0;1;2;3;6;7;8;9;10;11;12;13;14;15;16;17;18;22;23;27;28;29;30;31;32,C;O,2,0,,,,,0.5599999999999999,0.0,0.33599999999999997,0.0,1,1,0
node_0039,PEN,Polyethylene Naphthalate,C14H10O4,"{""C"": 14, ""H"": 10, ""O"": 4}",242.05790880058,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-C+C-C bond break(s)",node_0001,0;1;2;3;6;7;8;9;10;11;12;13;14;15;16;17;18;19;22;23;27;28;29;30;31;32;33;34,C;C,2,0,,,,,0.5599999999999999,0.0,0.33599999999999997,0.0,1,1,0
node_0040,PEN,Polyethylene Naphthalate,C15H12O4,"{""C"": 15, ""H"": 12, ""O"": 4}",256.07355886504,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-C+C-O bond break(s)",node_0001,0;1;2;3;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;22;23;27;28;29;30;31;32;33;34;35;36,C;C,2,0,,,,,0.5599999999999999,0.0,0.33599999999999997,0.0,1,1,0
node_0041,PEN,Polyethylene Naphthalate,C3H4O2,"{""C"": 3, ""H"": 4, ""O"": 2}",72.02112936806,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O+C-C bond break(s)",node_0001,0;1;2;3;4;22;23;24;25,C;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0042,PEN,Polyethylene Naphthalate,C13H10O2,"{""C"": 13, ""H"": 10, ""O"": 2}",198.06807956144002,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O+C-C bond break(s)",node_0001,0;1;2;3;4;6;7;8;9;10;11;12;13;14;15;22;23;24;25;27;28;29;30;31;32,C;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0043,PEN,Polyethylene Naphthalate,C14H10O3,"{""C"": 14, ""H"": 10, ""O"": 3}",226.06299418101,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O+C-O bond break(s)",node_0001,0;1;2;3;4;6;7;8;9;10;11;12;13;14;15;16;17;22;23;24;25;27;28;29;30;31;32,C;C,2,0,,,,,0.5599999999999999,0.0,0.33599999999999997,0.0,1,1,0
node_0044,PEN,Polyethylene Naphthalate,C14H10O4,"{""C"": 14, ""H"": 10, ""O"": 4}",242.05790880058,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O+C-O bond break(s)",node_0001,0;1;2;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;22;23;24;25;27;28;29;30;31;32,C;O,2,0,,,,,0.5599999999999999,0.0,0.33599999999999997,0.0,1,1,0
node_0045,PEN,Polyethylene Naphthalate,C15H12O4,"{""C"": 15, ""H"": 12, ""O"": 4}",256.07355886504,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O+C-C bond break(s)",node_0001,0;1;2;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;22;23;24;25;27;28;29;30;31;32;33;34,C;C,2,0,,,,,0.5599999999999999,0.0,0.33599999999999997,0.0,1,1,0
node_0046,PEN,Polyethylene Naphthalate,C16H14O4,"{""C"": 16, ""H"": 14, ""O"": 4}",270.0892089295,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O+C-O bond break(s)",node_0001,0;1;2;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;22;23;24;25;27;28;29;30;31;32;33;34;35;36,C;C,2,0,,,,,0.5599999999999999,0.0,0.33599999999999997,0.0,1,1,0
node_0047,PEN,Polyethylene Naphthalate,C10H6,"{""C"": 10, ""H"": 6}",126.04695019338,neutral,0,fragment,bond_break,"M | fragment C,H from C-C+C-C bond break(s)",node_0001,6;7;8;9;10;11;12;13;14;15;27;28;29;30;31;32,C;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0048,PEN,Polyethylene Naphthalate,C11H6O,"{""C"": 11, ""H"": 6, ""O"": 1}",154.04186481295,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-C+C-O bond break(s)",node_0001,6;7;8;9;10;11;12;13;14;15;16;17;27;28;29;30;31;32,C;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0049,PEN,Polyethylene Naphthalate,C11H6O2,"{""C"": 11, ""H"": 6, ""O"": 2}",170.03677943252,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-C+C-O bond break(s)",node_0001,6;7;8;9;10;11;12;13;14;15;16;17;18;27;28;29;30;31;32,C;O,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0050,PEN,Polyethylene Naphthalate,C12H8O2,"{""C"": 12, ""H"": 8, ""O"": 2}",184.05242949698,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-C+C-C bond break(s)",node_0001,6;7;8;9;10;11;12;13;14;15;16;17;18;19;27;28;29;30;31;32;33;34,C;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0051,PEN,Polyethylene Naphthalate,C13H10O2,"{""C"": 13, ""H"": 10, ""O"": 2}",198.06807956144002,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-C+C-O bond break(s)",node_0001,6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;27;28;29;30;31;32;33;34;35;36,C;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0052,PEN,Polyethylene Naphthalate,CO,"{""C"": 1, ""O"": 1}",27.99491461957,neutral,0,fragment,bond_break,"M | fragment C,O from C-C+C-O bond break(s)",node_0001,16;17,C;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0053,PEN,Polyethylene Naphthalate,CO2,"{""C"": 1, ""O"": 2}",43.98982923914,neutral,0,fragment,bond_break,"M | fragment C,O from C-C+C-O bond break(s)",node_0001,16;17;18,C;O,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0054,PEN,Polyethylene Naphthalate,C2H2O2,"{""C"": 2, ""H"": 2, ""O"": 2}",58.0054793036,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-C+C-C bond break(s)",node_0001,16;17;18;19;33;34,C;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0055,PEN,Polyethylene Naphthalate,C3H4O2,"{""C"": 3, ""H"": 4, ""O"": 2}",72.02112936806,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-C+C-O bond break(s)",node_0001,16;17;18;19;20;33;34;35;36,C;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0056,PEN,Polyethylene Naphthalate,CH2O,"{""C"": 1, ""H"": 2, ""O"": 1}",30.01056468403,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O+C-C bond break(s)",node_0001,18;19;33;34,O;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0057,PEN,Polyethylene Naphthalate,C2H4O,"{""C"": 2, ""H"": 4, ""O"": 1}",44.02621474849,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O+C-O bond break(s)",node_0001,18;19;20;33;34;35;36,O;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0058,PEN,Polyethylene Naphthalate,C2H4,"{""C"": 2, ""H"": 4}",28.03130012892,neutral,0,fragment,bond_break,"M | fragment C,H from C-O+C-O bond break(s)",node_0001,19;20;33;34;35;36,C;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0059,PEN,Polyethylene Naphthalate,C14H10O4,"{""C"": 14, ""H"": 10, ""O"": 4}",242.05790880058,neutral,0,fragment_h_shift,h_shift_-1,"M | fragment C,H,O from C-O bond break(s) | h_shift_-1",node_0002,0;1;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;27;28;29;30;31;32;33;34;35;36;37,C,1,-1,,,,,0.6000000000000001,0.0,0.33000000000000007,0.0,1,1,0
node_0060,PEN,Polyethylene Naphthalate,C14H12O4,"{""C"": 14, ""H"": 12, ""O"": 4}",244.07355886504,neutral,0,fragment_h_shift,h_shift_+1,"M | fragment C,H,O from C-O bond break(s) | h_shift_+1",node_0002,0;1;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;27;28;29;30;31;32;33;34;35;36;37,C,1,1,,,,,0.6000000000000001,0.0,0.33000000000000007,0.0,1,1,0
node_0061,PEN,Polyethylene Naphthalate,C2H4O2,"{""C"": 2, ""H"": 4, ""O"": 2}",60.02112936806,neutral,0,fragment_h_shift,h_shift_-1,"M | fragment C,H,O from C-O bond break(s) | h_shift_-1",node_0003,2;3;4;5;22;23;24;25;26,O,1,-1,,,,,0.6000000000000001,0.0,0.38000000000000006,0.0,1,1,0
node_0062,PEN,Polyethylene Naphthalate,C2H6O2,"{""C"": 2, ""H"": 6, ""O"": 2}",62.03677943252,neutral,0,fragment_h_shift,h_shift_+1,"M | fragment C,H,O from C-O bond break(s) | h_shift_+1",node_0003,2;3;4;5;22;23;24;25;26,O,1,1,,,,,0.6000000000000001,0.0,0.38000000000000006,0.0,1,1,0
node_0063,PEN,Polyethylene Naphthalate,C14H10O5,"{""C"": 14, ""H"": 10, ""O"": 5}",258.05282342015,neutral,0,fragment_h_shift,h_shift_-1,"M | fragment C,H,O from C-O bond break(s) | h_shift_-1",node_0004,0;1;2;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;27;28;29;30;31;32;33;34;35;36;37,O,1,-1,,,,,0.6000000000000001,0.0,0.33000000000000007,0.0,1,1,0
node_0064,PEN,Polyethylene Naphthalate,C14H12O5,"{""C"": 14, ""H"": 12, ""O"": 5}",260.06847348461,neutral,0,fragment_h_shift,h_shift_+1,"M | fragment C,H,O from C-O bond break(s) | h_shift_+1",node_0004,0;1;2;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;27;28;29;30;31;32;33;34;35;36;37,O,1,1,,,,,0.6000000000000001,0.0,0.33000000000000007,0.0,1,1,0
node_0065,PEN,Polyethylene Naphthalate,C2H4O,"{""C"": 2, ""H"": 4, ""O"": 1}",44.02621474849,neutral,0,fragment_h_shift,h_shift_-1,"M | fragment C,H,O from C-O bond break(s) | h_shift_-1",node_0005,3;4;5;22;23;24;25;26,C,1,-1,,,,,0.6000000000000001,0.0,0.38000000000000006,0.0,1,1,0
node_0066,PEN,Polyethylene Naphthalate,C2H6O,"{""C"": 2, ""H"": 6, ""O"": 1}",46.04186481295,neutral,0,fragment_h_shift,h_shift_+1,"M | fragment C,H,O from C-O bond break(s) | h_shift_+1",node_0005,3;4;5;22;23;24;25;26,C,1,1,,,,,0.6000000000000001,0.0,0.38000000000000006,0.0,1,1,0
node_0067,PEN,Polyethylene Naphthalate,C15H12O5,"{""C"": 15, ""H"": 12, ""O"": 5}",272.06847348461,neutral,0,fragment_h_shift,h_shift_-1,"M | fragment C,H,O from C-C bond break(s) | h_shift_-1",node_0006,0;1;2;3;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;27;28;29;30;31;32;33;34;35;36;37,C,1,-1,,,,,0.6000000000000001,0.0,0.33000000000000007,0.0,1,1,0
node_0068,PEN,Polyethylene Naphthalate,C15H14O5,"{""C"": 15, ""H"": 14, ""O"": 5}",274.08412354907,neutral,0,fragment_h_shift,h_shift_+1,"M | fragment C,H,O from C-C bond break(s) | h_shift_+1",node_0006,0;1;2;3;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;27;28;29;30;31;32;33;34;35;36;37,C,1,1,,,,,0.6000000000000001,0.0,0.33000000000000007,0.0,1,1,0
node_0069,PEN,Polyethylene Naphthalate,CH2O,"{""C"": 1, ""H"": 2, ""O"": 1}",30.01056468403,neutral,0,fragment_h_shift,h_shift_-1,"M | fragment C,H,O from C-C bond break(s) | h_shift_-1",node_0007,4;5;24;25;26,C,1,-1,,,,,0.6000000000000001,0.0,0.38000000000000006,0.0,1,1,0
node_0070,PEN,Polyethylene Naphthalate,CH4O,"{""C"": 1, ""H"": 4, ""O"": 1}",32.02621474849,neutral,0,fragment_h_shift,h_shift_+1,"M | fragment C,H,O from C-C bond break(s) | h_shift_+1",node_0007,4;5;24;25;26,C,1,1,,,,,0.6000000000000001,0.0,0.38000000000000006,0.0,1,1,0
node_0071,PEN,Polyethylene Naphthalate,C16H14O5,"{""C"": 16, ""H"": 14, ""O"": 5}",286.08412354907,neutral,0,fragment_h_shift,h_shift_-1,"M | fragment C,H,O from C-O bond break(s) | h_shift_-1",node_0008,0;1;2;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;27;28;29;30;31;32;33;34;35;36;37,C,1,-1,,,,,0.6000000000000001,0.0,0.33000000000000007,0.0,1,1,0
node_0072,PEN,Polyethylene Naphthalate,C16H16O5,"{""C"": 16, ""H"": 16, ""O"": 5}",288.09977361353,neutral,0,fragment_h_shift,h_shift_+1,"M | fragment C,H,O from C-O bond break(s) | h_shift_+1",node_0008,0;1;2;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;27;28;29;30;31;32;33;34;35;36;37,C,1,1,,,,,0.6000000000000001,0.0,0.33000000000000007,0.0,1,1,0
node_0073,PEN,Polyethylene Naphthalate,C3H4O3,"{""C"": 3, ""H"": 4, ""O"": 3}",88.01604398763,neutral,0,fragment_h_shift,h_shift_-1,"M | fragment C,H,O from C-C bond break(s) | h_shift_-1",node_0009,0;1;2;3;4;5;22;23;24;25;26,C,1,-1,,,,,0.6000000000000001,0.0,0.38000000000000006,0.0,1,1,0
node_0074,PEN,Polyethylene Naphthalate,C3H6O3,"{""C"": 3, ""H"": 6, ""O"": 3}",90.03169405209,neutral,0,fragment_h_shift,h_shift_+1,"M | fragment C,H,O from C-C bond break(s) | h_shift_+1",node_0009,0;1;2;3;4;5;22;23;24;25;26,C,1,1,,,,,0.6000000000000001,0.0,0.38000000000000006,0.0,1,1,0
